ProductKey,ProductCode,ProductName,FinishedGoodsFlag,Color,SafetyStockLevel,ReorderPoint
1,AR-5381,Adjustable Race,0,NA,1000,750
2,BA-8327,Bearing Ball,0,NA,1000,750
3,BE-2349,BB Ball Bearing,0,NA,800,600
4,BE-2908,Headset Ball Bearings,0,NA,800,600
5,BL-2036,Blade,0,NA,800,600
6,CA-5965,LL Crankarm,0,Black,500,375
7,CA-6738,ML Crankarm,0,Black,500,375
8,CA-7457,HL Crankarm,0,Black,500,375
9,CB-2903,Chainring Bolts,0,Silver,1000,750
10,CN-6137,Chainring Nut,0,Silver,1000,750
11,CR-7833,Chainring,0,Black,1000,750
12,CR-9981,Crown Race,0,NA,1000,750
13,CS-2812,Chain Stays,0,NA,1000,750
14,DC-8732,Decal 1,0,NA,1000,750
15,DC-9824,Decal 2,0,NA,1000,750
16,DT-2377,Down Tube,0,NA,800,600
17,EC-M092,Mountain End Caps,0,NA,1000,750
18,EC-R098,Road End Caps,0,NA,1000,750
19,EC-T209,Touring End Caps,0,NA,1000,750
20,FE-3760,Fork End,0,NA,800,600
21,FH-2981,Freewheel,0,Silver,500,375
22,FW-1000,Flat Washer 1,0,NA,1000,750
23,FW-1200,Flat Washer 6,0,NA,1000,750
24,FW-1400,Flat Washer 2,0,NA,1000,750
25,FW-3400,Flat Washer 9,0,NA,1000,750
26,FW-3800,Flat Washer 4,0,NA,1000,750
27,FW-5160,Flat Washer 3,0,NA,1000,750
28,FW-5800,Flat Washer 8,0,NA,1000,750
29,FW-7160,Flat Washer 5,0,NA,1000,750
30,FW-9160,Flat Washer 7,0,NA,1000,750
31,FC-3654,Fork Crown,0,NA,800,600
32,FC-3982,Front Derailleur Cage,0,Silver,800,600
33,FL-2301,Front Derailleur Linkage,0,Silver,800,600
34,GP-0982,Guide Pulley,0,NA,800,600
35,GT-0820,LL Grip Tape,0,NA,800,600
36,GT-1209,ML Grip Tape,0,NA,800,600
37,GT-2908,HL Grip Tape,0,NA,800,600
38,HJ-1213,Thin-Jam Hex Nut 9,0,NA,1000,750
39,HJ-1220,Thin-Jam Hex Nut 10,0,NA,1000,750
40,HJ-1420,Thin-Jam Hex Nut 1,0,NA,1000,750
41,HJ-1428,Thin-Jam Hex Nut 2,0,NA,1000,750
42,HJ-3410,Thin-Jam Hex Nut 15,0,NA,1000,750
43,HJ-3416,Thin-Jam Hex Nut 16,0,NA,1000,750
44,HJ-3816,Thin-Jam Hex Nut 5,0,NA,1000,750
45,HJ-3824,Thin-Jam Hex Nut 6,0,NA,1000,750
46,HJ-5161,Thin-Jam Hex Nut 3,0,NA,1000,750
47,HJ-5162,Thin-Jam Hex Nut 4,0,NA,1000,750
48,HJ-5811,Thin-Jam Hex Nut 13,0,NA,1000,750
49,HJ-5818,Thin-Jam Hex Nut 14,0,NA,1000,750
50,HJ-7161,Thin-Jam Hex Nut 7,0,NA,1000,750
51,HJ-7162,Thin-Jam Hex Nut 8,0,NA,1000,750
52,HJ-9080,Thin-Jam Hex Nut 12,0,NA,1000,750
53,HJ-9161,Thin-Jam Hex Nut 11,0,NA,1000,750
54,HN-1024,Hex Nut 5,0,NA,1000,750
55,HN-1032,Hex Nut 6,0,NA,1000,750
56,HN-1213,Hex Nut 16,0,NA,1000,750
57,HN-1220,Hex Nut 17,0,NA,1000,750
58,HN-1224,Hex Nut 7,0,NA,1000,750
59,HN-1420,Hex Nut 8,0,NA,1000,750
60,HN-1428,Hex Nut 9,0,NA,1000,750
61,HN-3410,Hex Nut 22,0,NA,1000,750
62,HN-3416,Hex Nut 23,0,NA,1000,750
63,HN-3816,Hex Nut 12,0,NA,1000,750
64,HN-3824,Hex Nut 13,0,NA,1000,750
65,HN-4402,Hex Nut 1,0,NA,1000,750
66,HN-5161,Hex Nut 10,0,NA,1000,750
67,HN-5162,Hex Nut 11,0,NA,1000,750
68,HN-5400,Hex Nut 2,0,NA,1000,750
69,HN-5811,Hex Nut 20,0,NA,1000,750
70,HN-5818,Hex Nut 21,0,NA,1000,750
71,HN-6320,Hex Nut 3,0,NA,1000,750
72,HN-7161,Hex Nut 14,0,NA,1000,750
73,HN-7162,Hex Nut 15,0,NA,1000,750
74,HN-8320,Hex Nut 4,0,NA,1000,750
75,HN-9161,Hex Nut 18,0,NA,1000,750
76,HN-9168,Hex Nut 19,0,NA,1000,750
77,HT-2981,Handlebar Tube,0,NA,800,600
78,HT-8019,Head Tube,0,NA,800,600
79,HU-6280,LL Hub,0,NA,500,375
80,HU-8998,HL Hub,0,NA,500,375
81,KW-4091,Keyed Washer,0,NA,1000,750
82,LE-1000,External Lock Washer 3,0,NA,1000,750
83,LE-1200,External Lock Washer 4,0,NA,1000,750
84,LE-1201,External Lock Washer 9,0,NA,1000,750
85,LE-1400,External Lock Washer 5,0,NA,1000,750
86,LE-3800,External Lock Washer 7,0,NA,1000,750
87,LE-5160,External Lock Washer 6,0,NA,1000,750
88,LE-6000,External Lock Washer 1,0,NA,1000,750
89,LE-7160,External Lock Washer 8,0,NA,1000,750
90,LE-8000,External Lock Washer 2,0,NA,1000,750
91,LI-1000,Internal Lock Washer 3,0,NA,1000,750
92,LI-1200,Internal Lock Washer 4,0,NA,1000,750
93,LI-1201,Internal Lock Washer 9,0,NA,1000,750
94,LI-1400,Internal Lock Washer 5,0,NA,1000,750
95,LI-3800,Internal Lock Washer 7,0,NA,1000,750
96,LI-5160,Internal Lock Washer 6,0,NA,1000,750
97,LI-5800,Internal Lock Washer 10,0,NA,1000,750
98,LI-6000,Internal Lock Washer 1,0,NA,1000,750
99,LI-7160,Internal Lock Washer 8,0,NA,1000,750
100,LI-8000,Internal Lock Washer 2,0,NA,1000,750
101,LJ-1213,Thin-Jam Lock Nut 9,0,NA,1000,750
102,LJ-1220,Thin-Jam Lock Nut 10,0,NA,1000,750
103,LJ-1420,Thin-Jam Lock Nut 1,0,NA,1000,750
104,LJ-1428,Thin-Jam Lock Nut 2,0,NA,1000,750
105,LJ-3410,Thin-Jam Lock Nut 15,0,NA,1000,750
