ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,SalesOrderNumber,SalesAmount,OrderDate,DueDate,ShipDate,OrderDate,OrderToshipDays,OrderToDueDays
535,20230101,20230113,20230108,11051,SO74253,24.99,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
528,20230101,20230113,20230108,11051,SO74253,4.99,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
222,20230101,20230113,20230108,11051,SO74253,34.99,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
535,20230101,20230113,20230108,11079,SO74254,24.99,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
539,20230101,20230113,20230108,15154,SO74255,24.99,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
536,20230101,20230113,20230108,17250,SO74256,29.99,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
528,20230101,20230113,20230108,17250,SO74256,4.99,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
485,20230101,20230113,20230108,19091,SO74257,21.98,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
485,20230101,20230113,20230108,18304,SO74258,21.98,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
480,20230101,20230113,20230108,18304,SO74258,2.29,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
476,20230101,20230113,20230108,26772,SO74259,69.99,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
489,20230101,20230113,20230108,26772,SO74259,53.99,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
541,20230101,20230113,20230108,16486,SO74260,28.99,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
530,20230101,20230113,20230108,16486,SO74260,4.99,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
480,20230101,20230113,20230108,16486,SO74260,2.29,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
222,20230101,20230113,20230108,11733,SO74261,34.99,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
530,20230101,20230113,20230108,28258,SO74262,4.99,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
480,20230101,20230113,20230108,28258,SO74262,2.29,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
540,20230101,20230113,20230108,25189,SO74263,32.60,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
483,20230101,20230113,20230108,25189,SO74263,120.00,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
536,20230101,20230113,20230108,22187,SO74264,29.99,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
480,20230101,20230113,20230108,22187,SO74264,2.29,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
528,20230101,20230113,20230108,22105,SO74265,4.99,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
536,20230101,20230113,20230108,22105,SO74265,29.99,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
480,20230101,20230113,20230108,22105,SO74265,2.29,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
484,20230101,20230113,20230108,22105,SO74265,7.95,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
475,20230101,20230113,20230108,20757,SO74266,69.99,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
477,20230101,20230113,20230108,16368,SO74267,4.99,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
217,20230101,20230113,20230108,16368,SO74267,34.99,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
228,20230101,20230113,20230108,16368,SO74267,49.99,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
225,20230101,20230113,20230108,16368,SO74267,8.99,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
528,20230101,20230113,20230108,21925,SO74268,4.99,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
480,20230101,20230113,20230108,21925,SO74268,2.29,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
475,20230101,20230113,20230108,14546,SO74269,69.99,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
491,20230101,20230113,20230108,14546,SO74269,53.99,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
477,20230101,20230113,20230108,23768,SO74270,4.99,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
465,20230101,20230113,20230108,23768,SO74270,24.49,2023-01-01,2023-01-13,2023-01-08,2023-01-01 00:00:00.000,7,12
